mode,Unnamed: 0,loss,per_image_iou,dataset_iou,per_image_f1,dataset_f1
test,2.0,0.4011518657207489,0.5506786704063416,0.6125767230987549,0.6905856132507324,0.7597489356994629
train,0.0,0.4826418459415436,0.4421947598457336,0.5524815320968628,0.5668529272079468,0.7117398977279663
valid,1.0,0.584976077079773,0.3696229457855224,0.4217299222946167,0.4926915466785431,0.5932630896568298
