mode,Unnamed: 0,loss,per_image_iou,dataset_iou,per_image_f1,dataset_f1
test,2.0,0.4409584105014801,0.5119833946228027,0.566931426525116,0.6574754118919373,0.7236199975013733
train,0.0,0.4720394313335418,0.4637773633003235,0.5489062666893005,0.5938246250152588,0.7087662816047668
valid,1.0,0.5996848344802856,0.3228346705436706,0.4129511713981628,0.4431330263614654,0.5845229029655457
