mode,Unnamed: 0,loss,per_image_iou,dataset_iou,per_image_f1,dataset_f1
test,2.0,0.4201484620571136,0.5289361476898193,0.5942985415458679,0.6754090189933777,0.74552983045578
train,0.0,0.48457732796669,0.4808354675769806,0.5372280478477478,0.6127642393112183,0.6989568471908569
valid,1.0,0.6054081916809082,0.3639160990715027,0.4042408764362335,0.4881486594676971,0.5757429599761963
