mode,Unnamed: 0,loss,per_image_iou,dataset_iou,per_image_f1,dataset_f1
test,2.0,0.4066029489040375,0.556015133857727,0.5987618565559387,0.7013070583343506,0.7490319609642029
train,0.0,0.4469570517539978,0.492913156747818,0.5666618943214417,0.6283996105194092,0.723400354385376
valid,1.0,0.584690511226654,0.3764106035232544,0.4222645461559295,0.5014815330505371,0.5937918424606323
