,mode,loss,per_image_iou,dataset_iou,per_image_f1,dataset_f1
0,train,0.4765408933162689,0.46355730295181274,0.5575834512710571,0.5889747142791748,0.7159596681594849
1,valid,0.6029456853866577,0.37786221504211426,0.4057356119155884,0.5079964399337769,0.5772573351860046
2,test,0.4547867774963379,0.4880482852458954,0.551481306552887,0.6333363652229309,0.710909366607666
