,mode,loss,per_image_iou,dataset_iou,per_image_f1,dataset_f1
0,train,0.46749284863471985,0.4688263237476349,0.557499349117279,0.5954773426055908,0.7158903479576111
1,valid,0.5508347153663635,0.38610222935676575,0.4526004493236542,0.506751537322998,0.6231589317321777
2,test,0.3902026116847992,0.5555791854858398,0.6173860430717468,0.6936625242233276,0.7634368538856506
