,mode,loss,per_image_iou,dataset_iou,per_image_f1,dataset_f1
0,train,0.4394795298576355,0.49251437187194824,0.5739041566848755,0.6222347617149353,0.7292746305465698
1,valid,0.557663083076477,0.3747596740722656,0.44548505544662476,0.4915740489959717,0.6163814067840576
2,test,0.40045166015625,0.5491254329681396,0.6053779125213623,0.6926801204681396,0.7541874647140503
